feature,importance_mean,importance_std
C3_beta_abs_power,0.14965443912812348,0.0
F4_delta_abs_power,0.10404040404040416,0.0
P3_gamma_abs_power,0.09797979797979806,0.0
P3_delta_abs_power,0.09797979797979806,0.0
P3_alpha_abs_power,0.09797979797979806,0.0
P3_beta_abs_power,0.09797979797979806,0.0
Cz_delta_abs_power,0.09797979797979806,0.0
Cz_alpha_abs_power,0.09797979797979806,0.0
C3_gamma_abs_power,0.09797979797979806,0.0
T7_gamma_abs_power,0.09797979797979806,0.0
Fz_gamma_abs_power,0.09797979797979806,0.0
F4_gamma_abs_power,0.09797979797979806,0.0
Cz_beta_abs_power,0.09797979797979806,0.0
F7_iqr,0.05090757196020357,0.0
Fp1_q75,0.05090757196020357,0.0
C4_min,0.05090757196020357,0.0
F3_beta_abs_power,0.05090757196020357,0.0
O1_beta_mean_freq,0.05090757196020357,0.0
Fz_spectral_entropy,0.05090757196020357,0.0
Fz_q75,0.05090757196020357,0.0
T8_max,0.05090757196020357,0.0
P4_q25,0.05090757196020357,0.0
F8_max,0.05090757196020357,0.0
P4_energy,0.05090757196020357,0.0
P4_rms,0.05090757196020357,0.0
Cz_energy,0.05090757196020357,0.0
T8_range,0.05090757196020357,0.0
Fp1_var,0.05090757196020357,0.0
F3_gamma_abs_power,0.05090757196020357,0.0
P3_max,0.05090757196020357,0.0
T7_q75,0.05090757196020357,0.0
C3_alpha_rel_power,0.05090757196020357,0.0
P3_delta_rel_power,0.05090757196020357,0.0
C3_alpha_abs_power,0.05090757196020357,0.0
T7_alpha_rel_power,0.05090757196020357,0.0
T8_alpha_rel_power,0.05090757196020357,0.0
P4_spectral_entropy,0.05090757196020357,0.0
F7_theta_beta_ratio,0.05090757196020357,0.0
Cz_theta_abs_power,0.05090757196020357,0.0
P8_median,0.04828592833707923,0.0
T8_beta_abs_power,0.04828592833707923,0.0
P3_beta_rel_power,0.04828592833707923,0.0
C4_theta_abs_power,0.04828592833707923,0.0
Cz_iqr,0.04828592833707923,0.0
T8_alpha_abs_power,0.04828592833707923,0.0
Fp1_gamma_rel_power,0.04828592833707923,0.0
F4_beta_abs_power,0.04828592833707923,0.0
Fz_energy,0.04828592833707923,0.0
T8_theta_beta_ratio,0.04828592833707923,0.0
O2_alpha_rel_power,0.04828592833707923,0.0
C4_gamma_abs_power,0.04828592833707923,0.0
F8_beta_abs_power,0.04828592833707923,0.0
Fp1_alpha_abs_power,0.04828592833707923,0.0
Fz_beta_abs_power,0.04828592833707923,0.0
Pz_beta_abs_power,0.04828592833707923,0.0
Fz_delta_rel_power,0.04828592833707923,0.0
F3_alpha_abs_power,0.04828592833707923,0.0
C3_theta_abs_power,0.04828592833707923,0.0
F8_mean,0.04828592833707923,0.0
Pz_gamma_abs_power,0.04828592833707923,0.0
Cz_gamma_abs_power,0.04828592833707923,0.0
Fp2_delta_abs_power,0.04828592833707923,0.0
Pz_alpha_rel_power,0.04828592833707923,0.0
Fp2_energy,0.04828592833707923,0.0
F3_mean,0.04828592833707923,0.0
P7_theta_abs_power,0.0,0.0
C4_range,0.0,0.0
C4_q25,0.0,0.0
C4_q75,0.0,0.0
C4_iqr,0.0,0.0
C4_energy,0.0,0.0
C4_rms,0.0,0.0
P7_gamma_abs_power,0.0,0.0
P7_gamma_rel_power,0.0,0.0
P7_theta_beta_ratio,0.0,0.0
T8_beta_rel_power,0.0,0.0
T8_gamma_rel_power,0.0,0.0
P7_spectral_entropy,0.0,0.0
Fz_theta_abs_power,0.0,0.0
P3_rms,0.0,0.0
P4_mean,0.0,0.0
P4_median,0.0,0.0
P4_std,0.0,0.0
P4_var,0.0,0.0
P4_min,0.0,0.0
P4_max,0.0,0.0
P3_std,0.0,0.0
P4_q75,0.0,0.0
P4_iqr,0.0,0.0
O1_mean,0.0,0.0
O1_median,0.0,0.0
P3_energy,0.0,0.0
O1_std,0.0,0.0
O1_var,0.0,0.0
O1_min,0.0,0.0
O1_max,0.0,0.0
O1_range,0.0,0.0
O1_q75,0.0,0.0
O1_iqr,0.0,0.0
P4_range,0.0,0.0
F4_range,0.0,0.0
F4_q25,0.0,0.0
F4_q75,0.0,0.0
F4_iqr,0.0,0.0
F4_energy,0.0,0.0
F4_rms,0.0,0.0
C3_mean,0.0,0.0
C3_median,0.0,0.0
O2_q75,0.0,0.0
O2_iqr,0.0,0.0
O2_energy,0.0,0.0
O2_rms,0.0,0.0
F7_mean,0.0,0.0
F7_median,0.0,0.0
O1_energy,0.0,0.0
O1_rms,0.0,0.0
F7_var,0.0,0.0
F7_min,0.0,0.0
F7_max,0.0,0.0
F7_range,0.0,0.0
F7_q25,0.0,0.0
F7_q75,0.0,0.0
O2_q25,0.0,0.0
F7_rms,0.0,0.0
F8_median,0.0,0.0
F8_std,0.0,0.0
F8_var,0.0,0.0
F8_min,0.0,0.0
F7_std,0.0,0.0
P3_var,0.0,0.0
P3_min,0.0,0.0
P3_range,0.0,0.0
P3_q25,0.0,0.0
P3_q75,0.0,0.0
P3_iqr,0.0,0.0
F7_energy,0.0,0.0
T7_iqr,0.0,0.0
F8_range,0.0,0.0
F8_q25,0.0,0.0
F8_q75,0.0,0.0
F8_iqr,0.0,0.0
F8_energy,0.0,0.0
T7_mean,0.0,0.0
T7_median,0.0,0.0
T8_min,0.0,0.0
T7_std,0.0,0.0
T7_min,0.0,0.0
T7_max,0.0,0.0
T7_range,0.0,0.0
T7_q25,0.0,0.0
T8_q75,0.0,0.0
T8_iqr,0.0,0.0
T8_energy,0.0,0.0
P7_mean,0.0,0.0
P7_median,0.0,0.0
T8_mean,0.0,0.0
T8_median,0.0,0.0
T8_var,0.0,0.0
O2_mean,0.0,0.0
O2_median,0.0,0.0
O2_std,0.0,0.0
O2_var,0.0,0.0
O2_min,0.0,0.0
T8_q25,0.0,0.0
Fp1_delta_abs_power,0.0,0.0
Fp1_delta_rel_power,0.0,0.0
Fp1_theta_abs_power,0.0,0.0
Fp1_theta_rel_power,0.0,0.0
Pz_std,0.0,0.0
Pz_var,0.0,0.0
Pz_min,0.0,0.0
P7_std,0.0,0.0
P7_var,0.0,0.0
P7_min,0.0,0.0
P7_max,0.0,0.0
P7_range,0.0,0.0
P7_q75,0.0,0.0
P7_iqr,0.0,0.0
Fp1_spectral_entropy,0.0,0.0
P8_rms,0.0,0.0
Fz_mean,0.0,0.0
Fz_median,0.0,0.0
P7_energy,0.0,0.0
P7_rms,0.0,0.0
P8_mean,0.0,0.0
P8_std,0.0,0.0
Fz_max,0.0,0.0
Fz_range,0.0,0.0
Fz_q25,0.0,0.0
Fz_iqr,0.0,0.0
P8_range,0.0,0.0
P8_q25,0.0,0.0
P8_iqr,0.0,0.0
F3_theta_beta_ratio,0.0,0.0
F4_spectral_entropy,0.0,0.0
Fp2_gamma_rel_power,0.0,0.0
F3_spectral_entropy,0.0,0.0
F3_delta_abs_power,0.0,0.0
F3_delta_rel_power,0.0,0.0
F3_theta_abs_power,0.0,0.0
Cz_var,0.0,0.0
Cz_min,0.0,0.0
Cz_max,0.0,0.0
F3_alpha_rel_power,0.0,0.0
F3_beta_rel_power,0.0,0.0
F3_gamma_rel_power,0.0,0.0
O2_max,0.0,0.0
Cz_rms,0.0,0.0
Pz_mean,0.0,0.0
Pz_median,0.0,0.0
P8_theta_rel_power,0.0,0.0
Fz_rms,0.0,0.0
Cz_mean,0.0,0.0
Cz_median,0.0,0.0
Pz_max,0.0,0.0
Pz_range,0.0,0.0
Pz_q25,0.0,0.0
Pz_iqr,0.0,0.0
Cz_range,0.0,0.0
Cz_q25,0.0,0.0
Cz_q75,0.0,0.0
P8_alpha_abs_power,0.0,0.0
P8_alpha_rel_power,0.0,0.0
P8_beta_abs_power,0.0,0.0
C3_beta_rel_power,0.0,0.0
P7_theta_rel_power,0.0,0.0
C3_gamma_rel_power,0.0,0.0
C3_theta_beta_ratio,0.0,0.0
C4_spectral_entropy,0.0,0.0
C4_delta_abs_power,0.0,0.0
C4_delta_rel_power,0.0,0.0
P7_alpha_abs_power,0.0,0.0
C4_theta_rel_power,0.0,0.0
C4_alpha_abs_power,0.0,0.0
C4_alpha_rel_power,0.0,0.0
C4_beta_abs_power,0.0,0.0
C4_beta_rel_power,0.0,0.0
P7_alpha_rel_power,0.0,0.0
Fp2_gamma_abs_power,0.0,0.0
Fp1_alpha_rel_power,0.0,0.0
Fp1_beta_abs_power,0.0,0.0
Fp1_beta_rel_power,0.0,0.0
Fp1_gamma_abs_power,0.0,0.0
P7_beta_abs_power,0.0,0.0
Fp1_theta_beta_ratio,0.0,0.0
P7_beta_rel_power,0.0,0.0
F3_theta_rel_power,0.0,0.0
C3_iqr,0.0,0.0
Fp2_delta_rel_power,0.0,0.0
Fp2_theta_abs_power,0.0,0.0
Fp2_theta_rel_power,0.0,0.0
Fp2_alpha_abs_power,0.0,0.0
Fp2_alpha_rel_power,0.0,0.0
Fp2_beta_abs_power,0.0,0.0
P4_alpha_abs_power,0.0,0.0
P4_alpha_rel_power,0.0,0.0
P4_beta_abs_power,0.0,0.0
P4_beta_rel_power,0.0,0.0
P3_alpha_rel_power,0.0,0.0
F4_min,0.0,0.0
Fz_gamma_rel_power,0.0,0.0
P7_delta_abs_power,0.0,0.0
P4_theta_beta_ratio,0.0,0.0
O1_delta_rel_power,0.0,0.0
O1_theta_abs_power,0.0,0.0
O1_theta_rel_power,0.0,0.0
O1_alpha_abs_power,0.0,0.0
P4_delta_rel_power,0.0,0.0
P4_theta_abs_power,0.0,0.0
P4_theta_rel_power,0.0,0.0
F4_theta_abs_power,0.0,0.0
F4_theta_rel_power,0.0,0.0
F4_alpha_abs_power,0.0,0.0
F4_alpha_rel_power,0.0,0.0
Fp2_max,0.0,0.0
F4_beta_rel_power,0.0,0.0
Pz_theta_beta_ratio,0.0,0.0
P4_gamma_rel_power,0.0,0.0
F4_gamma_rel_power,0.0,0.0
C3_spectral_entropy,0.0,0.0
C3_delta_abs_power,0.0,0.0
C3_delta_rel_power,0.0,0.0
Fp1_mean,0.0,0.0
C3_theta_rel_power,0.0,0.0
Fp1_median,0.0,0.0
F4_delta_rel_power,0.0,0.0
T7_theta_beta_ratio,0.0,0.0
F8_gamma_abs_power,0.0,0.0
F8_gamma_rel_power,0.0,0.0
T7_spectral_entropy,0.0,0.0
T7_delta_abs_power,0.0,0.0
T7_delta_rel_power,0.0,0.0
T7_theta_abs_power,0.0,0.0
F8_spectral_entropy,0.0,0.0
Fp1_std,0.0,0.0
T7_theta_rel_power,0.0,0.0
T7_alpha_abs_power,0.0,0.0
Fp1_min,0.0,0.0
T7_beta_abs_power,0.0,0.0
T7_beta_rel_power,0.0,0.0
Fp1_max,0.0,0.0
T7_gamma_rel_power,0.0,0.0
P3_theta_rel_power,0.0,0.0
Fp1_range,0.0,0.0
T8_spectral_entropy,0.0,0.0
T8_delta_abs_power,0.0,0.0
T8_theta_abs_power,0.0,0.0
T8_theta_rel_power,0.0,0.0
Fp1_q25,0.0,0.0
P8_beta_rel_power,0.0,0.0
P3_gamma_rel_power,0.0,0.0
P3_theta_beta_ratio,0.0,0.0
P8_gamma_rel_power,0.0,0.0
P4_delta_abs_power,0.0,0.0
P3_spectral_entropy,0.0,0.0
P8_theta_beta_ratio,0.0,0.0
Fz_delta_abs_power,0.0,0.0
P3_theta_abs_power,0.0,0.0
O2_theta_rel_power,0.0,0.0
O2_alpha_abs_power,0.0,0.0
C4_max,0.0,0.0
O2_beta_abs_power,0.0,0.0
O2_beta_rel_power,0.0,0.0
O1_alpha_rel_power,0.0,0.0
O1_beta_abs_power,0.0,0.0
O1_beta_rel_power,0.0,0.0
O2_beta_mean_freq,0.0,0.0
F7_spectral_entropy,0.0,0.0
F7_delta_abs_power,0.0,0.0
F7_delta_rel_power,0.0,0.0
F7_theta_abs_power,0.0,0.0
O2_delta_abs_power,0.0,0.0
O2_delta_rel_power,0.0,0.0
O2_theta_abs_power,0.0,0.0
F7_alpha_abs_power,0.0,0.0
F7_alpha_rel_power,0.0,0.0
F7_beta_abs_power,0.0,0.0
F7_gamma_abs_power,0.0,0.0
F7_gamma_rel_power,0.0,0.0
C3_std,0.0,0.0
O2_gamma_abs_power,0.0,0.0
O2_theta_beta_ratio,0.0,0.0
F8_delta_abs_power,0.0,0.0
F8_delta_rel_power,0.0,0.0
F8_theta_abs_power,0.0,0.0
F8_theta_rel_power,0.0,0.0
F8_alpha_abs_power,0.0,0.0
F8_alpha_rel_power,0.0,0.0
C3_var,0.0,0.0
F7_theta_rel_power,0.0,0.0
Cz_alpha_rel_power,0.0,0.0
C3_min,0.0,0.0
Fz_theta_rel_power,0.0,0.0
Fz_alpha_abs_power,0.0,0.0
Fz_alpha_rel_power,0.0,0.0
C3_max,0.0,0.0
C3_q25,0.0,0.0
C3_q75,0.0,0.0
Pz_delta_rel_power,0.0,0.0
Pz_theta_abs_power,0.0,0.0
Cz_spectral_entropy,0.0,0.0
P8_delta_rel_power,0.0,0.0
Cz_delta_rel_power,0.0,0.0
P3_mean,0.0,0.0
Cz_theta_rel_power,0.0,0.0
P3_median,0.0,0.0
Pz_beta_rel_power,0.0,0.0
C3_energy,0.0,0.0
Pz_gamma_rel_power,0.0,0.0
Fp1_iqr,0.0,0.0
Cz_beta_rel_power,0.0,0.0
C4_mean,0.0,0.0
Pz_spectral_entropy,0.0,0.0
Pz_delta_abs_power,0.0,0.0
O1_gamma_abs_power,0.0,0.0
O1_theta_beta_ratio,0.0,0.0
C4_median,0.0,0.0
O2_spectral_entropy,0.0,0.0
Pz_theta_rel_power,0.0,0.0
Pz_alpha_abs_power,0.0,0.0
C4_std,0.0,0.0
P8_delta_abs_power,0.0,0.0
Fp1_energy,0.0,0.0
Fp1_rms,0.0,0.0
Fp2_mean,0.0,0.0
Fp2_median,0.0,0.0
Fp2_std,0.0,0.0
Fp2_var,0.0,0.0
Fp2_min,0.0,0.0
P8_spectral_entropy,0.0,0.0
F3_iqr,0.0,0.0
Fp2_range,0.0,0.0
Fp2_q25,0.0,0.0
Fp2_q75,0.0,0.0
Fp2_iqr,0.0,0.0
C4_var,0.0,0.0
P7_delta_rel_power,0.0,0.0
F3_median,0.0,0.0
F4_max,0.0,0.0
F3_std,0.0,0.0
F3_var,0.0,0.0
F3_min,0.0,0.0
F3_max,0.0,0.0
F3_range,0.0,0.0
F3_q25,0.0,0.0
F3_q75,0.0,0.0
Fz_theta_beta_ratio,0.0,0.0
F3_energy,0.0,0.0
F3_rms,0.0,0.0
F4_mean,0.0,0.0
F4_median,0.0,0.0
F4_std,0.0,0.0
F4_var,0.0,0.0
P8_theta_abs_power,0.0,0.0
F8_theta_beta_ratio,-0.00012626262626269646,0.0
C4_gamma_rel_power,-0.00012626262626269646,0.0
T8_gamma_abs_power,-0.00012626262626269646,0.0
Fp2_rms,-0.04941228138159082,0.0
Cz_theta_beta_ratio,-0.04941228138159082,0.0
Cz_gamma_rel_power,-0.04941228138159082,0.0
O1_gamma_rel_power,-0.04941228138159082,0.0
O2_gamma_rel_power,-0.04941228138159082,0.0
F8_beta_rel_power,-0.04941228138159082,0.0
F7_beta_rel_power,-0.04941228138159082,0.0
T8_delta_rel_power,-0.04941228138159082,0.0
Fz_beta_rel_power,-0.04941228138159082,0.0
C4_theta_beta_ratio,-0.04941228138159082,0.0
P4_gamma_abs_power,-0.04941228138159082,0.0
O1_delta_abs_power,-0.04941228138159082,0.0
O1_spectral_entropy,-0.04941228138159082,0.0
Fp2_spectral_entropy,-0.04941228138159082,0.0
Fp2_beta_rel_power,-0.04941228138159082,0.0
Fp2_theta_beta_ratio,-0.04941228138159082,0.0
F4_theta_beta_ratio,-0.04941228138159082,0.0
Pz_q75,-0.04941228138159082,0.0
Pz_energy,-0.04941228138159082,0.0
Pz_rms,-0.04941228138159082,0.0
P7_q25,-0.04941228138159082,0.0
P8_var,-0.04941228138159082,0.0
P8_min,-0.04941228138159082,0.0
P8_max,-0.04941228138159082,0.0
Cz_std,-0.04941228138159082,0.0
P8_q75,-0.04941228138159082,0.0
P8_energy,-0.04941228138159082,0.0
Fz_var,-0.04941228138159082,0.0
Fz_std,-0.04941228138159082,0.0
F8_rms,-0.04941228138159082,0.0
T7_var,-0.04941228138159082,0.0
T7_energy,-0.04941228138159082,0.0
Fz_min,-0.04941228138159082,0.0
T7_rms,-0.04941228138159082,0.0
T8_std,-0.04941228138159082,0.0
O2_range,-0.04941228138159082,0.0
T8_rms,-0.04941228138159082,0.0
O1_q25,-0.04941228138159082,0.0
C3_range,-0.04941228138159082,0.0
C3_rms,-0.04941228138159082,0.0
P8_gamma_abs_power,-0.04941228138159082,0.0
