feature,importance_mean,importance_std
C3_gamma_abs_power,0.018067683395012003,0.005462817553056022
Fz_iqr,0.017122680307075443,0.007212123095607419
F3_theta_beta_ratio,0.013754266149906446,0.0032019000150794227
Pz_mean,0.01292755110638023,0.005471438571523297
P7_q75,0.010892016636126045,0.005158454074311401
Pz_gamma_abs_power,0.010857039214717156,0.009058060025861597
P7_beta_abs_power,0.010694544115386862,0.0028486518836844236
P7_iqr,0.008764659607722169,0.00845528400226477
O2_alpha_abs_power,0.008288442521182205,0.00232174364646101
Pz_gamma_rel_power,0.007163740622635218,0.004291907349855656
Pz_iqr,0.007125066061380747,0.0047391359788946244
O2_std,0.0068228257099639976,0.002383284132584353
P7_energy,0.006470617808336498,0.0024927022312584667
P4_alpha_abs_power,0.006453182352227205,0.0026486366558459294
F4_q25,0.00611897559614899,0.0013855257433349182
O2_energy,0.0051984990794736174,0.0039941997104298195
O1_delta_rel_power,0.00517465191957035,0.002569425503428918
Fp2_gamma_rel_power,0.004882005584702176,0.0020157503100689234
C3_beta_abs_power,0.0045004473065745065,0.0066462223822046675
T8_mean,0.004476026553184543,0.0017548894300485514
P8_theta_abs_power,0.004246054971726987,0.0018783575496474426
O1_alpha_abs_power,0.004228686371176826,0.0022642589996671857
F3_beta_rel_power,0.004194992280440591,0.0020803826030556657
F7_std,0.004087390763356879,0.002377498365606007
F4_theta_abs_power,0.004066577032995944,0.003128587722309133
F3_delta_rel_power,0.003969214934405852,0.0012506322666034153
P7_q25,0.0036967928548099606,0.0022566133485140325
F3_beta_abs_power,0.0033906309453291096,0.0023854604555733168
Pz_beta_abs_power,0.0033379425280597673,0.001539275809395266
C3_alpha_abs_power,0.0032344563373327474,0.0021649436153419717
C4_gamma_abs_power,0.003025778390268041,0.0030698497675814796
P3_alpha_abs_power,0.002824147245789965,0.0022189421241943577
Fp2_spectral_entropy,0.0027622584611905034,0.0013270856551596854
O1_std,0.002676367378582678,0.0015723405275900038
Fp2_beta_rel_power,0.0026224045845574364,0.0022205190830325333
O2_beta_mean_freq,0.002560665603921508,0.0023323309194242738
Fp1_iqr,0.002546452530679122,0.0009215156173926231
Fz_q25,0.002535386530423378,0.003050382380986738
P7_rms,0.00252753838780565,0.0012457786576517184
