channel,importance_sum,n_features
Pz,0.03895473476742664,24
P7,0.0334375185215946,24
C3,0.030960589326743088,24
F3,0.024889231517973245,24
O2,0.02449762621771104,25
Fz,0.014694307049566124,24
O1,0.013838535849671563,25
P4,0.010450207983931458,24
Fp2,0.008363000449173319,24
P8,0.007307255850329332,24
F7,0.00677985081199247,24
F4,0.0052560158818597226,24
Fp1,0.0034976918845789793,24
T8,0.0019008733496671875,24
C4,0.0003273108066778052,24
P3,-0.0030284271686801586,24
T7,-0.0030303742350728303,24
Cz,-0.0044919142362068185,24
F8,-0.018293738669975645,24
